,mean,std,min,25%,50%,75%,max
energy_100g,1030.5561,763.5989,4.0,293.0,950.0,1674.0,3435.0
fat_100g,9.7368,13.3186,0.0,0.0,3.45,14.46,85.71
saturated-fat_100g,2.6717,4.4374,0.0,0.0,0.59,3.73,60.38
carbohydrates_100g,33.4704,27.1362,0.0,10.16,23.08,57.6325,100.0
sugars_100g,12.747,14.5105,0.0,2.92,7.14,17.86,100.0
fiber_100g,3.4952,4.7496,0.0,0.0,1.8,4.8,50.0
proteins_100g,7.5062,8.2391,0.0,2.12,5.0,10.0,83.33
salt_100g,0.8014,1.2247,0.0,0.1118,0.5715,1.176,39.7942
sodium_100g,0.3155,0.4822,0.0,0.044,0.225,0.463,15.667
trans-fat_100g,0.0165,0.5598,0.0,0.0,0.0,0.0,56.0
cholesterol_100g,0.0078,0.0203,0.0,0.0,0.0,0.005,0.37
calcium_100g,0.092,0.1629,0.0,0.0,0.048,0.125,10.0
iron_100g,0.0026,0.0054,0.0,0.0,0.001,0.0026,0.0621
potassium_100g,0.292,0.3433,0.0,0.115,0.185,0.338,8.75
vitamin-c_100g,0.0094,0.0369,0.0,0.0,0.0,0.0063,2.5
vitamin-a_100g,0.0002,0.0007,0.0,0.0,0.0,0.0001,0.0359
additives_n,2.21,2.6988,0.0,0.0,1.0,3.0,27.0
ingredients_from_palm_oil_n,0.0003,0.0169,0.0,0.0,0.0,0.0,1.0
ingredients_that_may_be_from_palm_oil_n,0.0328,0.1796,0.0,0.0,0.0,0.0,2.0
ingredients_count,12.3149,9.6298,1.0,6.0,11.0,15.0,101.0
